Roll,Math,Physics,Chemistry,Computer Science
1,80,31,46,41
2,28,95,24,74
3,63,27,75,71
4,98,83,78,26
5,70,37,26,96
6,25,99,30,78
7,80,26,65,35
8,98,33,75,73
9,73,41,60,38
10,97,53,68,77
11,88,77,75,67
12,64,70,96,65
13,80,77,84,96
14,90,58,64,82
15,86,67,80,40
16,25,83,37,90
17,31,23,32,34
18,84,74,49,60
19,75,29,34,60
20,21,47,87,100
21,47,62,41,52
22,48,64,52,72
23,54,48,64,64
24,41,98,51,81
25,33,83,89,67
26,64,35,72,78
27,68,35,53,79
28,33,66,80,57
29,77,90,78,83
30,56,90,89,35
31,42,80,21,38
32,77,29,64,53
33,27,42,76,55
34,93,52,66,75
35,24,28,33,31
36,34,56,33,85
37,33,76,90,96
38,82,87,59,30
39,95,91,69,86
40,85,60,23,87
41,54,47,80,63
42,37,31,60,61
43,75,75,64,62
44,36,25,23,95
45,69,22,30,44
46,36,74,69,53
47,51,29,42,99
48,73,46,41,69
49,37,32,63,23
50,67,100,35,32
51,52,36,26,36
52,96,78,27,86
53,49,96,98,76
54,25,87,34,38
55,55,22,58,48
56,100,78,84,95
57,71,71,93,87
58,35,100,95,59
59,28,48,40,48
60,91,57,71,49
61,34,31,71,36
62,38,74,47,87
63,93,44,57,82
64,38,92,96,43
65,87,35,39,42
66,44,69,93,78
67,92,86,70,77
68,51,98,41,99
69,88,73,96,52
70,44,52,22,28
71,87,54,87,84
72,52,84,31,31
73,34,56,26,35
74,93,51,100,82
75,83,39,28,95
76,83,99,22,44
77,86,94,77,31
78,78,73,50,97
79,29,84,70,68
80,20,58,68,80
81,36,58,74,93
82,95,25,86,22
83,98,98,84,89
84,43,52,81,57
85,46,96,34,43
86,44,39,43,33
87,99,70,57,83
88,21,24,88,64
89,100,66,56,44
90,97,84,35,45
91,33,25,59,25
92,96,47,98,55
93,37,53,93,89
94,30,20,56,49
95,94,57,66,40
96,78,88,70,85
97,36,55,72,29
98,52,59,54,37
99,83,85,100,93
100,77,26,33,95
